event_id,event_calendar_id,event_member_id,event_content,event_title,event_comments,event_rsvp,event_approved,event_saved,event_lastupdated,event_recurring,event_start_date,event_end_date,event_title_seo,event_rating,event_post_key,event_sequence,event_all_day,event_reviews,event_ip_address,event_locked,event_featured,event_last_comment,event_last_review,event_approved_by,event_approved_on,event_location,event_rsvp_limit,event_cover_photo,event_album,event_cover_offset,event_queued_comments,event_hidden_comments,event_unapproved_reviews,event_hidden_reviews,event_venue,event_meta_data
1,7,1,"
<p>
	<a href=""https://en.wikipedia.org/wiki/Joseph_Goebbels"" rel=""external nofollow"">Joseph Goebbels</a>' Death Day
</p>

<p>
	<img alt=""n9Zu4sT.jpg"" src=""https://i.imgur.com/n9Zu4sT.jpg"" /></p>
","Joseph Goebbels' Death Day",1,0,1,1431441728,1467054223,FREQ=YEARLY;INTERVAL=1,"2015-05-01 00:00:00",,joseph-goebbels-death-day,0,aacd60ce6e003aec669ed9f6401ca441,1,1,0,,0,0,1493631547,,1,1458920067,,,http://ironmarch.org/uploads/monthly_2016_03/n9Zu4sT.jpg.4ea15f8013b10d8fe903dd1c67054222.jpg,,112,0,0,,,,\0
2,1,1,"
<p>
	<a href=""https://en.wikipedia.org/wiki/Niccol%C3%B2_Machiavelli"" rel=""external nofollow"">Niccolò Machiavelli</a>'s Birthday
</p>

<p>
	<img alt=""SBlgRwe.png"" src=""https://i.imgur.com/SBlgRwe.png""></p>
","Niccolò Machiavelli's Birthday",0,0,1,1431441890,1458921574,FREQ=YEARLY;INTERVAL=1,"2015-05-03 00:00:00",,"niccolò-machiavellis-birthday",0,662b0f769011d85e0e1b1982c362da87,1,1,0,,0,0,,,0,,,,http://ironmarch.org/uploads/monthly_2016_03/SBlgRwe.png.749126c338c1a0585aa7655e877eca0e.png,,264,0,0,,,,\0
3,7,1,"
<p>
	<a href=""https://en.wikipedia.org/wiki/Oswald_Spengler"" rel=""external nofollow"">Oswald Spengler</a>'s Death Day
</p>

<p>
	<img alt=""PSUbjXz.jpg"" src=""https://i.imgur.com/PSUbjXz.jpg"" /></p>
","Oswald Spengler's Death Day",0,0,1,1431441942,1467054338,FREQ=YEARLY;INTERVAL=1,"2015-05-08 00:00:00",,oswald-spenglers-death-day,0,d04e9d76c5d379512d50ea0316395256,1,1,0,,0,0,,,0,,,,http://ironmarch.org/uploads/monthly_2016_03/PSUbjXz.jpg.54fb77c787064caf22f042dfb1f0edc2.jpg,,213,0,0,,,,\0
4,7,1,"
<p>
	<a href=""https://en.wikipedia.org/wiki/Oswald_Spengler"" rel=""external nofollow"">Oswald Spengler</a>'s Birthday
</p>

<p>
	<img alt=""PSUbjXz.jpg"" src=""https://i.imgur.com/PSUbjXz.jpg"" /></p>
","Oswald Spengler's Birthday",1,0,1,1431441992,1467054647,FREQ=YEARLY;INTERVAL=1,"2015-05-29 00:00:00",,oswald-spenglers-birthday,5,5e3ec5c18ae7791cd9163b18cd6c6ae6,1,1,0,,0,0,1496025032,,0,,,,http://ironmarch.org/uploads/monthly_2016_03/PSUbjXz.jpg.4d318d6548ed075a4f06400f47ac73f2.jpg,,211,0,0,,,,\0
5,1,1,"
<p>
	<a href=""<___base_url___>/index.php?/topic/684-julius-evola/?p=90610"" rel=""""><strong>Julius Evola's</strong></a> Death Day
</p>

<p>
	<img alt=""1tbbyOu.jpg"" src=""https://i.imgur.com/1tbbyOu.jpg""></p>
","Julius Evola's Death Day",0,0,1,1431442071,1458940462,FREQ=YEARLY;INTERVAL=1,"2015-06-11 00:00:00",,julius-evolas-death-day,0,d4af05102ff8296b669917df632fa175,1,1,0,,0,0,,,0,,,,http://ironmarch.org/uploads/monthly_2016_03/1tbbyOu.jpg.199acb046bccb5bfe85f6fe5afeeddc1.jpg,,119,0,0,,,,\0
6,1,1,"
<p>
	Niccolò Machiavelli's Death Day
</p>

<p>
	<img alt=""SBlgRwe.png"" src=""https://i.imgur.com/SBlgRwe.png""></p>
","Niccolò Machiavelli's Death Day",0,0,1,1431442124,1458941816,FREQ=YEARLY;INTERVAL=1,"2015-06-21 00:00:00",,"niccolò-machiavellis-death-day",0,286ed0e25df3c59fa39ae61f454d9320,1,1,0,,0,0,,,0,,,,http://ironmarch.org/uploads/monthly_2016_03/SBlgRwe.png.e6df272e687c46562252f76fa97f434d.png,,264,0,0,,,,\0
7,9,1,"
<p>
	<a href=""<___base_url___>/index.php?/topic/4101-celebration-of-the-summer-solstice-in-the-3rd-reich"" rel=""""><strong>Summer Solstice</strong></a>
</p>

<p>
	<img alt=""OrG4p7j.jpg"" src=""https://i.imgur.com/OrG4p7j.jpg""></p>
","Summer Solstice",0,0,1,1431442591,1458941732,FREQ=YEARLY;INTERVAL=1,"2015-06-20 00:00:00",,summer-solstice,0,a826ae1d1298dd701b568e110a7270ab,1,1,0,,0,0,,,0,,,,http://ironmarch.org/uploads/monthly_2016_03/OrG4p7j.jpg.ec05fd7b4e865efb5f9d5dd1e01e0fd6.jpg,,363,0,0,,,,\0
8,7,1,"
<p>
	<a href=""https://en.wikipedia.org/wiki/Martin_Bormann"" rel=""external nofollow"">Martin Bormann</a>'s Death Day
</p>

<p>
	<img alt=""BCd43yn.jpg"" src=""https://i.imgur.com/BCd43yn.jpg"" /></p>
","Martin Bormann's Death Day",0,0,1,1431464194,1467054239,FREQ=YEARLY;INTERVAL=1,"2015-05-02 00:00:00",,martin-bormanns-death-day,0,ebd41d4ef8644f5e70b122a9e14971d5,1,1,0,,0,0,,,0,,,,http://ironmarch.org/uploads/monthly_2016_03/BCd43yn.jpg.e3228ed51d88dd50ed63647008f4671d.jpg,,224,0,0,,,,\0
9,9,1,"
<p>
	<a href=""https://en.wikipedia.org/wiki/Fid%C3%A9l_P%C3%A1lffy"" rel=""external nofollow"">Fidél Pálffy</a>'s Birthday
</p>

<p>
	<img alt=""0A8EyPB.jpg"" src=""https://i.imgur.com/0A8EyPB.jpg"" /></p>
","Fidél Pálffy's Birthday",0,0,1,1431464571,1467054291,FREQ=YEARLY;INTERVAL=1,"2015-05-06 00:00:00",,"fidél-pálffys-birthday",0,228859c631bba62360e8ffc9720a547d,0,1,0,,0,0,,,0,,,,http://ironmarch.org/uploads/monthly_2016_03/0A8EyPB.jpg.c310e0aaf2f936a71a3b78ba9142c767.jpg,,162,0,0,,,,\0
10,7,1,"
<p>
	<a href=""https://en.wikipedia.org/wiki/Baldur_von_Schirach"" rel=""external nofollow"">Baldur von Schirach</a>'s Birthday
</p>

<p>
	<img alt=""cQjtdpx.jpg"" src=""https://i.imgur.com/cQjtdpx.jpg"" /></p>
","Baldur von Schirach's Birthday",0,0,1,1431464757,1467054354,FREQ=YEARLY;INTERVAL=1,"2015-05-09 00:00:00",,baldur-von-schirachs-birthday,0,0618975fd1a578a94c2cf64a6a0f6870,0,1,0,,0,0,,,0,,,,http://ironmarch.org/uploads/monthly_2016_03/cQjtdpx.jpg.d8ab9e987ea6ee8cb8175502d1016cce.jpg,,63,0,0,,,,\0
