log_id,log_type,log_action,log_configuration_id,log_method,log_filename,log_msg,log_date,log_data,log_container,log_url
7680,log,delete,1,FileSystem,hitler.png,file_deletion,1503431191,,emoticons,https://ironmarch.org/uploads/emoticons/hitler.png
7681,log,delete,1,FileSystem,hitler.png,file_deletion,1503431200,,emoticons,https://ironmarch.org/uploads/emoticons/hitler.png
7682,log,delete,1,FileSystem,"",file_deletion,1503431200,,"",https://ironmarch.org/uploads/
7683,log,delete,1,FileSystem,hitler.png,file_deletion,1503431206,,emoticons,https://ironmarch.org/uploads/emoticons/hitler.png
7684,log,delete,1,FileSystem,"",file_deletion,1503431206,,"",https://ironmarch.org/uploads/
7685,log,delete,1,FileSystem,599c8c660d91f_blacksun.thumb.jpg.373f6dfa5d5b019193ca7bb6e152692d.jpg,file_deletion,1503431787,,monthly_2017_08,http://ironmarch.org/uploads/monthly_2017_08/599c8c660d91f_blacksun.thumb.jpg.373f6dfa5d5b019193ca7bb6e152692d.jpg
7686,log,delete,1,FileSystem,599c8c5b0edd6_blacksun.jpg.ea1ff7f224847d919e7e4db985ec11aa.jpg,file_deletion,1503431787,,monthly_2017_08,http://ironmarch.org/uploads/monthly_2017_08/599c8c5b0edd6_blacksun.jpg.ea1ff7f224847d919e7e4db985ec11aa.jpg
7687,log,delete,1,FileSystem,ianbrady44.jpg.816f5e55ce163e92985ddbf6e57887e5.jpg,file_deletion,1503434259,,monthly_2017_08,http://ironmarch.org/uploads/monthly_2017_08/ianbrady44.jpg.816f5e55ce163e92985ddbf6e57887e5.jpg
7688,log,delete,1,FileSystem,ianbrady44.thumb.jpg.1bcff69cbdcefe050d5e89ecfc58d725.jpg,file_deletion,1503434259,,monthly_2017_08,http://ironmarch.org/uploads/monthly_2017_08/ianbrady44.thumb.jpg.1bcff69cbdcefe050d5e89ecfc58d725.jpg
7689,log,delete,1,FileSystem,liberianwarlord2.thumb.jpg.a6b863daa2e51d9fedc8cbe9e508860e.jpg,file_deletion,1503434302,,monthly_2017_08,http://ironmarch.org/uploads/monthly_2017_08/liberianwarlord2.thumb.jpg.a6b863daa2e51d9fedc8cbe9e508860e.jpg
