mt_id,mt_date,mt_title,mt_hasattach,mt_starter_id,mt_start_time,mt_last_post_time,mt_to_count,mt_to_member_id,mt_replies,mt_first_msg_id,mt_is_draft,mt_is_deleted,mt_is_system
1,1316144998,"Introductions are important",0,1,1316144998,1316144998,1,23,0,1,0,1,0
2,1316174048,"Our hosts",0,11,1316174047,1316187891,1,1,4,2,0,0,0
3,1316223829,"Re: Nova Roma",0,16,1316223829,1316224790,1,14,1,7,0,1,0
5,1316528414,"Introductions are important",0,1,1316528414,1316529737,1,20,1,12,0,1,0
6,1316700737,msn,0,1,1316700737,1316701077,1,11,1,14,0,1,0
8,1316726482,"Do you have Skype or AIM or MSN?",0,2,1316726482,1316736861,2,8,7,17,0,0,0
10,1316810696,"Introductions are important",0,1,1316810696,1316810696,1,25,0,26,0,1,0
11,1316857239,"Introductions are important",0,1,1316857239,1316866359,1,39,2,27,0,1,0
12,1316971130,"Welcome back",0,14,1316971130,1317063177,1,35,2,31,0,0,0
13,1316999150,"Could I have the banner without text and without the symbol?",0,2,1316999149,1316999149,1,7,0,32,0,0,0
15,1317067105,"Revolt Against the Modern World",0,11,1317067105,1317092844,1,3,3,36,0,0,0
16,1317158332,"All you have to do is post a youtube link",0,2,1317158332,1317164710,1,16,3,40,0,0,0
17,1317367590,Presidency,0,11,1317367590,1317573022,2,43,1,44,0,0,0
18,1317382951,"Real quick",0,35,1317382951,1317383583,1,9,1,45,0,1,0
20,1317489790,Password,0,2,1317489790,1317489790,1,1,0,48,0,0,0
21,1317533786,"Introductions are important",0,1,1317533786,1317541040,1,37,1,49,0,1,0
23,1317587131,"forum structure",0,47,1317587131,1317604873,1,1,2,54,0,0,0
24,1317707535,"Introductions are important",0,1,1317707534,1317707534,1,47,0,58,0,1,0
25,1317710873,book,0,1,1317710873,1317711787,1,47,1,59,0,1,0
26,1317824682,"What do you think of this?",0,2,1317824682,1317902816,1,35,2,61,0,0,0
28,1317903396,Herp,0,35,1317903396,1317921234,1,4,1,65,0,1,0
31,1318111557,Hello,0,0,1318111557,1318113843,1,2,3,73,0,1,0
32,1318112633,"I&#39;ve a feeling me and you are going to get on well",0,40,1318112633,1328592888,1,0,3,76,0,0,0
33,1318183326,"Message on hotmail",0,12,1318183324,1318187721,1,7,1,78,0,0,0
35,1318337674,"Do you know what videos these clips were taken from?",0,2,1318337674,1318371928,1,7,2,82,0,0,0
36,1318337697,"Do you know what videos these clips were taken from?",0,2,1318337697,1318367910,1,35,1,83,0,0,0
37,1318415763,Hello,0,35,1318415763,1318468689,1,17,1,91,0,1,0
38,1318415791,hey,0,35,1318415791,1318632257,1,8,4,92,0,1,0
40,1318514878,You...,0,35,1318514878,1320167945,1,3,14,99,0,1,0
41,1318538495,contacts,0,1,1318538494,1318539130,1,54,1,105,0,1,0
42,1318677388,"I&#39;ve a feeling we&#39;ll get on fine",0,40,1318677388,1318716003,2,54,1,113,0,0,0
44,1319531064,hey,0,35,1319531064,1319533636,1,2,1,124,0,1,0
45,1319548891,Collaboration/Skype,0,3,1319548891,1319752014,2,8,3,127,0,0,0
47,1319759361,Thanks,0,11,1319759361,1319782884,1,7,1,142,0,0,0
48,1319933185,hey,0,35,1319933185,1319973958,1,4,1,144,0,1,0
50,1319935916,hi,0,35,1319935915,1320137773,1,54,7,146,0,1,0
51,1319935927,hey,0,35,1319935927,1320635883,1,62,4,147,0,1,0
52,1319935951,oi&#33;,0,35,1319935951,1320198744,1,61,3,148,0,1,0
53,1320081118,"Introductions are important",0,1,1320081118,1320081118,1,65,0,154,0,1,0
56,1320186426,"Pointless question",0,44,1320186426,1320246726,2,11,1,175,0,0,0
57,1320216121,Question,0,35,1320216121,1320276192,1,2,3,178,0,1,0
59,1320375429,"Fascist archive",0,7,1320375429,1320465724,1,4,3,184,0,1,0
61,1320601410,Introduction.,0,9,1320601410,1320601410,1,72,0,192,0,0,0
64,1320720092,"mushi mushi",0,23,1320720092,1320853400,2,11,3,196,0,0,0
65,1320774048,"New computer?",0,3,1320774048,1320954143,1,1,4,198,0,0,0
66,1320828504,Hi,0,13,1320828504,1320875940,1,1,2,202,0,0,0
67,1320886848,"Precise Location",0,14,1320886847,1320953764,2,3,4,206,0,0,0
68,1321146833,Hey,0,14,1321146833,1323119488,2,8,5,214,0,0,0
69,1321200809,Help,0,14,1321200808,1321206546,2,54,1,217,0,0,0
71,1321292604,"Section Leader",0,9,1321292604,1321305179,1,7,1,220,0,0,0
72,1321708655,Hello,0,35,1321708655,1323912229,1,14,9,222,0,1,0
74,1322142722,Hello,0,35,1322142721,1322143102,1,54,1,229,0,1,0
76,1322270607,"Welcome, comrade&#33;",0,14,1322270606,1322803890,1,0,1,236,0,0,0
79,1322547459,hello,0,35,1322547459,1322593683,1,4,1,241,0,1,0
80,1322949493,"The Integralist Party",0,0,1322949493,1323663000,1,7,6,250,0,0,0
81,1323319709,Hello,0,35,1323319708,1323319708,1,84,0,256,0,1,0
83,1324128900,greetings,0,7,1324128900,1324133138,1,89,1,268,0,1,0
84,1324160230,"Flamed, and deletion of my post.",0,89,1324160230,1324236559,2,14,4,271,0,0,0
85,1324160511,Hello,0,89,1324160510,1324237973,1,7,1,272,0,0,0
86,1324180732,"Regarding your Warning",0,14,1324180732,1324226416,1,49,3,274,0,0,0
87,1324309685,Hello,0,89,1324309684,1324323857,2,9,5,282,0,0,0
88,1324326233,"Your ideology",0,89,1324326233,1324333609,2,54,1,288,0,0,0
89,1324413401,"A thread I would like to share",0,89,1324413401,1324499754,2,9,2,290,0,0,0
90,1324419143,"A proposition",0,89,1324419143,1324435749,1,49,1,291,0,0,0
91,1324539422,Reaktion,0,23,1324539422,1325655172,1,35,3,295,0,0,0
92,1324554110,Reaktion,0,35,1324554110,1324823081,1,14,4,297,0,1,0
93,1324646820,"Propaganda ",0,89,1324646820,1324646820,2,13,0,300,0,0,0
94,1324646850,Propaganda,0,89,1324646850,1324670775,2,13,1,301,0,0,0
95,1324670989,PM,0,89,1324670989,1327524043,1,1,20,303,0,0,0
96,1324673266,"Ethno Nationalist",0,67,1324673266,1324744481,1,9,2,304,0,1,0
97,1324691960,-,0,14,1324691960,1324694965,1,49,5,307,0,0,0
99,1324730907,Doriot,0,7,1324730906,1324912693,1,9,3,319,0,1,0
100,1324760070,"Orthodox Nationalist",0,3,1324760070,1324760070,1,35,0,327,0,0,0
101,1324779584,"A reminder.",0,11,1324779584,1324903894,2,9,2,331,0,0,0
103,1324828398,Warns,0,14,1324828298,1324894644,2,9,1,337,0,0,0
105,1324923092,"your comments on &#39;might makes right&#39;",0,0,1324923091,1324926148,1,84,1,345,0,1,0
106,1324926652,So,0,14,1324926651,1324926651,1,0,0,347,0,0,0
107,1324928793,Well.,0,11,1324928792,1324928792,2,14,0,348,0,0,0
109,1325194036,"you, the NSP, and SP forum",0,0,1325194036,1325354479,2,91,4,350,0,0,0
111,1325380700,"Skype thingummy",0,16,1325380700,1325381032,1,11,1,358,0,1,0
112,1325381887,"C&#39;mon c&#39;mon",0,11,1325381887,1325381887,1,16,0,360,0,0,0
113,1325383011,Party,0,11,1325383011,1325384805,2,5,2,361,0,0,0
114,1325462597,"Concerning Etho Nationalist",0,14,1325462597,1325462597,1,1,0,364,0,0,0
115,1325811147,"Anglo-serb. ",0,7,1325811146,1327704880,1,56,9,366,0,1,0
118,1326291272,"Counter Currents",0,3,1326291272,1326291484,1,35,1,378,0,0,0
119,1326296152,"article on Imperium Americana or whatever the fuck it would be",0,35,1326296152,1326336323,1,14,2,380,0,1,0
120,1326372901,So..,0,35,1326372901,1326388925,1,54,1,383,0,1,0
121,1326714441,"Interested in your ideology.",0,65,1326714441,1326726871,2,101,1,385,0,0,0
122,1326800754,"Propaganda ministry",0,13,1326800754,1326801106,1,49,1,387,0,0,0
124,1326895422,Greetings,0,14,1326895421,1326896558,2,108,2,393,0,0,0
125,1326898427,FC,0,14,1326898427,1326898427,1,1,0,396,0,0,0
126,1326912000,Website,0,13,1326912000,1326946459,1,7,1,397,0,0,0
127,1327080725,"Hello. ",0,7,1327080720,1327173323,1,114,6,399,0,1,0
128,1327082091,Hello,0,7,1327081973,1327157819,1,40,2,400,0,1,0
129,1327195948,Reaktion,0,4,1327195948,1327196388,2,108,1,409,0,0,0
130,1327235370,Hey,0,35,1327235370,1327356312,1,108,3,411,0,1,0
131,1327242494,"Dear ferret.",0,7,1327242494,1328778444,1,29,11,412,0,1,0
132,1327424680,"Mussolini&#39;s Intellectuals: Fascist social and Political thought",0,114,1327424680,1327493795,2,40,2,420,0,0,0
133,1327453878,So,0,14,1327453878,1328884967,2,108,9,421,0,0,0
134,1327462444,Skype?,0,3,1327462443,1327508246,2,100,3,423,0,0,0
136,1327520236,schnell,0,1,1327520236,1327520236,1,89,0,433,0,1,0
137,1327555406,"I&#39;ve got an idea",0,65,1327555406,1327600664,2,64,1,445,0,0,0
140,1327601529,"A question",0,19,1327601529,1327607161,1,1,5,455,0,0,0
141,1327702991,"Don&#39;t worry too much.",0,2,1327702991,1327946668,2,19,2,462,0,0,0
142,1327713259,Gruss,0,0,1327713259,1327761298,2,100,3,464,0,0,0
143,1327773800,"I&#39;d like to say",0,29,1327773799,1327838261,2,9,1,469,0,0,0
144,1327777332,"just so you know",0,29,1327777332,1327780782,2,84,3,470,0,0,0
145,1327793276,"Concerning Ethno-Nationalist",0,65,1327793276,1327794352,1,1,1,478,0,0,0
146,1327847921,Apologies,0,14,1327847921,1327857092,1,49,1,481,0,0,0
147,1327868165,Christianity,0,40,1327868165,1327902597,1,0,1,483,0,0,0
148,1327874710,Hey,0,14,1327874709,1328059596,2,8,2,484,0,0,0
149,1327885373,"An idea for greater forum cohesion",0,65,1327885373,1328013471,1,1,3,487,0,0,0
151,1328200645,IRC,0,108,1328200645,1328215747,2,1,1,503,0,0,0
154,1328292121,"Need a translation",0,2,1328292121,1328292462,1,132,3,510,0,0,0
156,1328373498,"Zigafolk Radio",0,0,1328373498,1328407651,1,1,4,518,0,0,0
157,1328373525,"Zigafolk Radio",0,0,1328373525,1328375521,2,2,4,519,0,0,0
159,1328374222,Skype,0,3,1328374222,1328374222,2,9,0,524,0,0,0
160,1328386531,"Социал-Монархизм",0,125,1328386531,1328432306,2,53,1,529,0,0,0
161,1328405904,Strasserism,0,7,1328405904,1328407570,1,140,2,530,0,1,0
162,1328477381,Hello,0,108,1328477379,1328478300,2,84,1,536,0,0,0
164,1328540446,"Радио",0,0,1328540446,1328810065,1,1,9,539,0,0,0
165,1328548721,Time,0,14,1328548721,1328550683,2,108,3,542,0,0,0
167,1328673064,"Questions about Finland",0,142,1328673064,1328677843,1,132,1,559,0,0,0
168,1328677348,Nationality,0,142,1328677347,1328783399,2,91,3,560,0,0,0
169,1328716243,Conference,0,14,1328716243,1328716243,2,140,0,563,0,0,0
170,1328716287,Conference,0,14,1328716287,1328716287,2,134,0,564,0,0,0
171,1328716310,Conference,0,14,1328716310,1328716310,2,84,0,565,0,0,0
