tag_id,tag_aai_lookup,tag_aap_lookup,tag_meta_app,tag_meta_area,tag_meta_id,tag_meta_parent_id,tag_member_id,tag_added,tag_prefix,tag_text
1,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,"father charles coughlin"
2,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,"father coughlin"
3,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,"charles coughlin"
4,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,coughlin
5,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,"united states of america"
6,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,"United States"
7,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,U.S.
8,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,America
9,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,USA
10,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,1316555147,0,Canada
11,8bda5c23a73f4a53e664b0a644fdf0c3,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,129,99,2,1316766732,0,"political compass"
25,ef9c553b27602531af9b1a2941868f69,42127c729dd1871f500f9c583c4a30dd,forums,forums,272,60,67,1320200622,0,Introduction
26,43ac6adba8bf95da38476118dd2bcee3,69be07476c613fe6f924a70753c952f8,forums,forums,274,60,67,1320267552,0,Religion
27,afd1964ed1a568511941a2599f296256,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,275,88,67,1320269183,0,"Trade unions"
28,afd1964ed1a568511941a2599f296256,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,275,88,67,1320269183,0,left
29,afd1964ed1a568511941a2599f296256,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,275,88,67,1320269183,0,Syndicalism
30,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,1320300246,0,"Iron Will"
31,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,1320300246,0,greetings
32,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,1320300246,0,hello
33,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,1320300246,0,introduction
34,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,1320300246,0,introductions
36,a22a57b42eb6dd2fa966ce45dcc07de2,42127c729dd1871f500f9c583c4a30dd,forums,forums,289,60,72,1320610251,0,Hi
37,a22a57b42eb6dd2fa966ce45dcc07de2,42127c729dd1871f500f9c583c4a30dd,forums,forums,289,60,72,1320610251,0,Hello
38,afff8c1ba1d2caf02e5aa53f54ff90ed,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,290,15,61,1320614107,0,"Iran War"
39,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,1320794690,0,Dimitrije
40,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,1320794690,0,Mita
41,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,1320794690,0,Ljotic
