word_id,lang_id,word_app,word_pack,word_key,word_default,word_custom,word_default_version,word_custom_version,word_js
1,1,core,admin_ajax,ls_groups,"Groups Form","",32005,,0
2,1,core,admin_ajax,ls_view_more_groups,"View more groups","",32005,,0
3,1,core,admin_ajax,ls_grouptitles,Groups,"",32005,,0
4,1,core,admin_ajax,ls_view_more_mem,"View more members","",32005,,0
5,1,core,admin_ajax,ls_members,Members,"",32005,,0
6,1,core,admin_ajax,lsnoresults,"No results","",32005,,0
7,1,core,admin_ajax,livesearchmemid,"ID: ","",32005,,0
8,1,core,admin_ajax,ls_help,"Help Files","",32005,,0
9,1,core,admin_ajax,ls_acppages,"ACP Pages","",32005,,0
10,1,core,admin_ajax,ls_settings,Settings,"",32005,,0
11,1,core,admin_ajax,ls_quick_search,"Quick Search","",32005,,0
12,1,core,admin_ajax,ls_view_more_acp,"View more ACP Pages","",32005,,0
13,1,core,admin_ajax,ls_groupresults,"There are per-group settings that matched your search term &raquo;","",32005,,0
14,1,core,admin_ajax,ls_view_more_help,"View more help files","",32005,,0
15,1,core,admin_ajax,ls_view_more_settings,"View more settings","",32005,,0
16,1,core,admin_ajax,ls_forums,Forums,"",32005,,0
17,1,core,admin_ajax,ls_view_more_forums,"View more forums","",32005,,0
18,1,core,admin_applications,h_outerpost,"(outer.post) After the foreach loop ends","",32005,,0
19,1,core,admin_applications,h_prestartif,"(pre.startif) Before the if statement starts","",32005,,0
20,1,core,admin_applications,h_innerpost,"(inner.post) Before the foreach loop ends","",32005,,0
21,1,core,admin_applications,h_innerpre,"(inner.pre) After the foreach loop starts","",32005,,0
22,1,core,admin_applications,h_noedit,"We could not find the hook you were attempting to edit.","",32005,,0
23,1,core,admin_applications,h_outerpre,"(outer.pre) Before the foreach loop starts","",32005,,0
24,1,core,admin_applications,h_hasbeenun,"The hook has been uninstalled.","",32005,,0
25,1,core,admin_applications,h_hasbeenenabled,"The hook has been enabled.","",32005,,0
26,1,core,admin_applications,h_noexport,"We could not find the hook you were attempting to export.","",32005,,0
27,1,core,admin_applications,h_insertran,"insert queries run","",32005,,0
28,1,core,admin_applications,h_updateran,"update queries run","",32005,,0
29,1,core,admin_applications,h_dbaltered,"database tables altered","",32005,,0
30,1,core,admin_applications,h_taskup,"tasks updated","",32005,,0
31,1,core,admin_applications,h_dbcreated,"database tables created","",32005,,0
32,1,core,admin_applications,h_taskin,"tasks inserted","",32005,,0
33,1,core,admin_applications,h_cssup,"CSS updated","",32005,,0
34,1,core,admin_applications,h_tempup,"templates updated","",32005,,0
35,1,core,admin_applications,h_cssin,"CSS inserted","",32005,,0
36,1,core,admin_applications,h_tempin,"templates inserted","",32005,,0
37,1,core,admin_applications,h_acpup,"ACP help files updated","",32005,,0
38,1,core,admin_applications,h_helpup,"help files updated","",32005,,0
39,1,core,admin_applications,h_acpin,"ACP help files inserted","",32005,,0
40,1,core,admin_applications,h_modup,"modules updated","",32005,,0
41,1,core,admin_applications,h_helpin,"help files inserted","",32005,,0
42,1,core,admin_applications,h_modin,"modules inserted","",32005,,0
43,1,core,admin_applications,h_langbitup,"language bits updated","",32005,,0
44,1,core,admin_applications,h_langbitin,"language bits inserted","",32005,,0
45,1,core,admin_applications,h_settingup,"settings updated","",32005,,0
46,1,core,admin_applications,h_settinggin,"setting groups inserted","",32005,,0
47,1,core,admin_applications,h_settingin,"settings inserted","",32005,,0
48,1,core,admin_applications,h_filesin,"files inserted","",32005,,0
49,1,core,admin_applications,h_followingacts,"The following actions were done:","",32005,,0
50,1,core,admin_applications,h_newhookin,"Hook installed","",34011,,0
51,1,core,admin_applications,h_xmlwrong,"The uploaded XML file does not appear to be a valid hook installation file.","",32005,,0
52,1,core,admin_applications,hook_removed_files,"%s Cached Hook Files Removed","",32005,,0
53,1,core,admin_applications,h_noxml,"There was no XML file uploaded. Please try again.","",32005,,0
54,1,core,admin_applications,hook_reenable_all,"Reenable all hooks","",32005,,0
55,1,core,admin_applications,hook_disable_all,"Disable all hooks","",32005,,0
56,1,core,admin_applications,hook_form_noapp_dd,"No Application","",32005,,0
57,1,core,admin_applications,hook_form_key,"Hook Key","",32005,,0
58,1,core,admin_applications,hook_form_key_desc,"This is a unique key for your hook","",32005,,0
59,1,core,admin_applications,hook_form_no_key,"You must supply a hook key for your hook","",32005,,0
60,1,core,admin_applications,hook_form_no_title,"The hook title field can not be blank","",32005,,0
61,1,core,admin_applications,hook_form_button,"Save Hook","",32005,,0
62,1,core,admin_applications,hook_form_version,"Hook Version (human-readable)","",32005,,0
63,1,core,admin_applications,hook_form_version_help,"Current version of this hook","",32005,,0
64,1,core,admin_applications,hook_form_desc_help,"Brief description of what this hook does, this is for your reference only","",32005,,0
65,1,core,admin_applications,hook_form_title_help,"Title of the hook, this is for your reference only.","",32005,,0
66,1,core,admin_applications,hook_form_desc,"Hook Description","",32005,,0
67,1,core,admin_applications,hook_form_title,"Hook Title","",32005,,0
68,1,core,admin_applications,hook_form_basic_info,"Basic Hook Information","",32005,,0
69,1,core,admin_applications,hook_form_info,"Hook Information","",32005,,0
70,1,core,admin_applications,hook_form_page_info,"You can use this form to genereate a new hook 'skeleton' for you.","",32005,,0
71,1,core,admin_applications,hook_form_page_title,"Create Hook","",32005,,0
72,1,core,admin_applications,a_addscript,"Add Custom Script","",32005,,0
73,1,core,admin_applications,a_export,Export,"",32005,,0
74,1,core,admin_applications,a_script_info,"You can include a custom script which will be executed upon installation and uninstallation","",32005,,0
75,1,core,admin_applications,a_exportscript,"Export Custom Script","",32005,,0
76,1,core,admin_applications,a_adddb,"Add Database Changes","",32005,,0
77,1,core,admin_applications,a_db_info,"You can include new database tables, changes to existing tables, insertions, and updates to be run","",32005,,0
78,1,core,admin_applications,a_exportdb,"Export Database Changes","",32005,,0
79,1,core,admin_applications,a_addtasks,"Add Tasks","",32005,,0
80,1,core,admin_applications,a_tasks_info,"You can include tasks to be exported with your hook","",32005,,0
81,1,core,admin_applications,a_addcss,"Add CSS Files","",32005,,0
82,1,core,admin_applications,a_exporttasks,"Export Tasks","",32005,,0
83,1,core,admin_applications,a_nocss,"There are no css files being exported","",32005,,0
84,1,core,admin_applications,a_exportcss,"Export Skin CSS","",32005,,0
85,1,core,admin_applications,a_css_info,"You can include css files to be added with your hook","",32005,,0
86,1,core,admin_applications,a_addskin,"Add Skin Templates","",32005,,0
87,1,core,admin_applications,a_skin_info,"You can include entire skin files or individual skin templates","",32005,,0
88,1,core,admin_applications,a_exportskin,"Export Skin Templates","",32005,,0
89,1,core,admin_applications,a_addacp,"Add ACP Help Files","",32005,,0
90,1,core,admin_applications,a_acp_info,"You can include ACP help files to be exported with your hook","",32005,,0
91,1,core,admin_applications,a_addhelp,"Add Help Files","",32005,,0
92,1,core,admin_applications,a_exportacp,"Export ACP Help Files","",32005,,0
93,1,core,admin_applications,a_help_info,"You can include help files to be exported with your hook","",32005,,0
94,1,core,admin_applications,a_addmod,"Add Modules","",32005,,0
95,1,core,admin_applications,a_exporthelp,"Export Help Files","",32005,,0
96,1,core,admin_applications,a_mod_info,"You can include modules to be added to existing applications","",32005,,0
97,1,core,admin_applications,a_addlang,"Add Language Bits","",32005,,0
98,1,core,admin_applications,a_exportmod,"Export Modules","",32005,,0
99,1,core,admin_applications,a_lang_info,"You can include entire language files, or language strings to add to existing files","",32005,,0
100,1,core,admin_applications,a_addsettings,"Add Settings","",32005,,0
101,1,core,admin_applications,a_exportlang,"Export Language Strings","",32005,,0
102,1,core,admin_applications,a_settings_info,"You can include groups of settings and individual settings you wish to export with this hook","",32005,,0
103,1,core,admin_applications,a_noskin,"There are no skin templates being exported","",32005,,0
104,1,core,admin_applications,a_exportsettings,"Export Settings","",32005,,0
105,1,core,admin_applications,a_nolang,"There are no language strings being exported","",32005,,0
106,1,core,admin_applications,a_noinun,"There is no custom install/uninstall script configured","",32005,,0
107,1,core,admin_applications,a_nodbchanges,"There are no database changes being exported","",32005,,0
108,1,core,admin_applications,a_notasks,"There are no tasks being exported","",32005,,0
109,1,core,admin_applications,a_noacp,"There are no ACP help files being exported","",32005,,0
110,1,core,admin_applications,a_nohelp,"There are no help files being exported","",32005,,0
