log_id,log_member,log_date,log_error,log_error_code,log_ip_address,log_request_uri
103737,0,1454043554,"You are not allowed to visit this community.",2000,69.120.10.64,/
103738,0,1454043556,"You are not allowed to visit this community.",2000,69.120.10.64,/index.php?s=52d5d41d713b62a50f88d900b9e147f9&app=core&module=task
103739,0,1454699478,"You are not allowed to visit this community.",2000,69.120.10.64,/
103740,7424,1455082483,"You cannot split all posts within this topic to another topic.  You must leave at least one post in this topic.",10375,172.98.87.54,/index.php?app=forums&module=moderate&section=moderate
103741,0,1455249727,"You are not allowed to visit this community.",2000,69.120.10.64,/
103742,9888,1455320363,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?&app=core&module=global&section=login&do=autologin&fromreg=1
103743,9888,1455320376,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?app=core&module=help
103744,9888,1455320421,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?/forum/171-jewish-question/
103745,9888,1455320432,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?/user/9888-tuberose/
103746,9888,1455320454,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?app=core&module=help
103747,9888,1455320636,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?app=core&module=global&section=register&do=reval
103748,9888,1455320655,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?app=core&module=global&section=register&do=reval
103749,9888,1455320662,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?app=core&module=help
103750,9888,1455320673,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?/user/9888-tuberose/
103751,9888,1455320678,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?/user/9888-tuberose/
103752,9888,1455320688,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?app=core&module=search&search_in=members
103753,9888,1455320698,"You are not allowed to visit this community. ",1001,195.228.45.176,/index.php?app=core&module=global&section=login&do=logout&k=c96582b332249d7a5a1a1c2ae3ed9e8e
