wl_id,wl_member,wl_moderator,wl_date,wl_reason,wl_points,wl_note_member,wl_note_mods,wl_mq,wl_mq_unit,wl_rpa,wl_rpa_unit,wl_suspend,wl_suspend_unit,wl_ban_group,wl_expire,wl_expire_unit,wl_acknowledged,wl_content_app,wl_content_id1,wl_content_id2,wl_expire_date
1,33,9,1316604741,0,1,"","Personal attack and name-calling during the debate with Ben in the &quot;Fasces&#39; World Map Thread.",0,h,0,h,0,h,0,0,"",1,"","","",
2,40,4,1319758708,0,1,"","Racism/ethnic slurs etc.",0,h,0,h,0,h,0,0,"",1,"","","",
3,40,4,1319758775,0,0,"","I believe that my previous adjustment of the warning bar was far too lenient.",0,h,0,h,0,h,0,0,"",1,"","","",
4,40,4,1322957779,0,0,"",yhu7jytf,0,h,0,h,0,h,0,0,"",1,"","","",
5,89,7,1324159487,0,1,"","Ridiculous drama and frankly embarassing behaviour. ",0,h,-1,"",0,h,0,0,"",1,"","","",
6,49,14,1324159660,0,1,"","Warned for excessive flaming in the topic &#39;Ask me anything&#39; by user Ben Barton. The thread is here:<br /><br />http://ironmarch.org/index.php?/topic/394-ask-me-anything/page__pid__5491#entry5491",0,h,0,h,0,h,0,0,"",1,"","","",
7,40,14,1324672070,0,0,"","Completely disgraceful trolling and flaming contained within the thread &#39;Schopenhauer on Women&#39;. I would have interned him myself if this damn thing told me how.<br /><br />Holiday Best,<br />Dux<br /><br />12.22..11",0,h,0,h,0,h,0,0,"",1,"","","",
8,40,14,1324823584,0,0,"","See my previous log. It appears that I did not actually increase the Warning Level. My mistake.<br /><br />Happy Holidays,<br />Dux",0,h,0,h,0,h,0,0,"",1,"","","",
9,40,4,1325447818,0,0,"","He told me to.",0,h,-1,"",0,h,0,0,"",1,"","","",
10,40,4,1327784749,0,0,"",Cooldown?,0,h,0,h,0,h,0,0,"",1,"","","",
11,49,4,1327784806,0,0,"",Cooldown.,0,h,0,h,0,h,0,0,"",1,"","","",
12,89,1,1327826782,0,0,"","Using forum name without permission. Insubordination. Giving lip.",0,h,0,h,0,h,0,0,"",1,"","","",
13,209,4,1335092130,0,0,"","Apparent scam artist.",0,h,0,h,0,h,0,0,"",1,"","","",
14,84,49,1339978662,0,1,"For stupid and irrelevant insults you have been given a warning.","Irrelevant and annoying insults.",0,h,0,h,0,h,0,0,"",1,"","","",
15,19,1,1341489737,0,0,"","Banned at user&#39;s request.",0,"",0,"",0,"",0,0,"",1,"","","",
16,84,49,1341619414,0,1,"","Inciting general autistic behavior",0,h,6,h,0,h,0,0,"",1,"","","",
17,263,49,1341803412,0,1,"For violating the Iron March charter and performing general acts of faggotry, you're placed on temporary house arrest and banned from posting until the adminship decide on what to do with you. Enjoy your stay in our tolerant and diverse community. cheers","For violating the Iron March charter and performing general acts of faggotry, temporary house arrest and ban from posting until the adminship decide on what to do",0,h,-1,"",0,h,0,0,"",1,"","","",
18,271,14,1342659463,0,1,"","He fucking posted this:<br />[quote name=&#39;NatCap&#39; timestamp=&#39;1342659114&#39; post=&#39;29687&#39;]Silence, boy. I know your game. You feel entitled to the younger females due to your age. No way, Jose.<br /><br />[/quote]<br /><br />More details can be found in the relevant Corps Compound thread. I hope he is banned, but I absolutely have to do something about this.",0,h,0,h,0,h,0,0,"",1,"","","",
19,271,49,1342746043,0,0,"","for being a faggot. Read his comments to black corps members",0,h,-1,"",0,h,0,0,"",1,"","","",
20,271,14,1342746047,0,0,"","Told a Moderator to go fuck himself. Insolence, flaming.",0,h,-1,"",0,h,0,0,"",1,"","","",
21,335,49,1344033763,0,1,"","misconduct in introductions thread",0,h,0,h,0,h,0,0,"",1,"","","",
22,329,1,1344408594,0,0,"","Not to be unbanned until I unban.",0,h,0,h,0,h,0,0,"",1,"","","",
23,446,49,1346542209,0,1,"","for being a faggot",0,h,0,h,0,h,0,0,"",1,"","","",
24,563,49,1348257497,0,1,"","&lt;p&gt;for being a faggot&lt;/p&gt;<br /><br />",0,h,10,d,0,h,0,0,"",1,"","","",
25,329,49,1349279847,0,1,"","shitposting, fashion fascism and condescension ",0,h,1,d,0,h,0,0,"",1,"","","",
26,329,132,1349281386,0,0,"","disagreeing =/= shitposting, you nigger",0,h,0,d,0,h,0,0,"",1,"","","",
27,563,49,1350068453,0,0,"","for continuing to be a faggot",0,h,0,h,0,h,0,0,"",1,"","","",
28,335,7,1353626087,0,0,"","my bad",0,h,0,h,0,h,0,0,"",1,"","","",
29,2054,132,1354048530,0,0,"",spam,0,h,0,h,0,h,0,0,"",1,"","","",
30,2113,132,1354400852,0,0,"",because,0,h,0,h,0,h,0,0,"",1,"","","",
31,2113,132,1354401072,0,0,"",because,0,h,0,h,0,h,0,0,"",1,"","","",
32,188,1,1354681556,0,0,"","Week in the concentration camp to cool off.",0,h,0,h,0,h,0,0,"",1,"","","",
33,84,49,1356805917,0,0,"https://www.youtube.com/watch?v=7b7DgOeMnW4&amp;list=PLA40C71E6439049FE<br />
 <br />
5 days for now, you will be released when you stop jewing alex and make truth of your word, [s]kike[/s]","getting on my nerves again",0,h,0,h,5,d,0,0,"",1,"","","",
34,188,49,1356892268,0,0,"","it&#39;s been well more than a week. Unban him.",0,h,0,h,0,h,0,0,"",1,"","","",
35,317,49,1356938523,0,1,"you have a week, jewboy","for refusing to comply with einsatzrassefuhrer&#39;s demands, not having a sense of humour, and sticking his kike shmeckel where it doesn&#39;t belong",0,h,7,d,0,h,0,0,"",1,"","","",
36,317,49,1357264964,0,1,"","until we finish the vote to ban him",0,h,10,d,0,h,0,0,"",1,"","","",
37,317,49,1357356687,0,0,"",banned,0,h,215,h,0,h,0,0,"",1,"","","",
38,1793,35,1357697959,0,0,"","2 for shit posting and retarded question threads. ",0,h,0,h,0,h,0,0,"",1,"","","",
39,2288,49,1359908736,0,1,"","autism (pretense at logical argument while using strawmans himself) posting style reminds me of wib, though it is definitely not her",0,h,0,h,2,d,0,0,"",1,"","","",
40,2275,7,1360183340,0,0,"","For being iredeemably retarded",0,h,5,d,0,h,0,0,"",1,"","","",
41,2871,49,1360553855,0,0,"","need i jest, sire?",0,h,0,h,0,h,0,0,"",1,"","","",
42,3491,7,1361900261,0,0,"","for being a faggot. ",0,h,1,d,0,h,0,0,"",1,"","","",
43,3498,49,1362352763,0,1,"","for &#39;god faggot&#39; comment. this kid is literally retarded and cannot even formulate a proper ad hom",0,h,0,h,0,h,0,0,"",1,"","","",
44,3023,49,1364067250,0,0,"you;re a faggot","aryan transautism",0,h,0,h,0,h,0,0,"",1,"","","",
45,5113,49,1364867050,0,1,"","i think this guy is genuinely stupid",0,h,0,h,1,d,0,0,"",1,"","","",
46,2351,49,1365457391,0,1,"","introduction thread autism",0,h,0,h,2,d,0,0,"",1,"","","",
47,5590,16,1366086014,0,1,"","Being an ass.",0,h,1,d,0,h,0,0,"",1,"","","",
48,5590,49,1366417833,0,1,"",vladiqueer,0,h,0,h,3,d,0,0,"",1,"","","",
49,5779,49,1366670161,0,1,"","shitskin with an attitude",0,h,0,h,2,d,0,0,"",1,"","","",
50,5805,132,1366838714,0,0,"",penis,0,h,0,h,12,h,0,0,"",1,"","","",
51,5805,132,1366838768,0,1,"","For being a rebellious kid.",0,h,0,h,12,h,0,0,"",1,"","","",
52,6114,1,1369744537,0,0,"","Don&#39;t get uppity, hipsterfag.",0,h,0,h,0,h,0,0,"",1,"","","",
53,6126,132,1370726060,0,0,"",JIDF,0,h,0,h,0,h,0,0,"",1,"","","",
54,6115,49,1372118624,0,1,"",http://ironmarch.org/index.php?/topic/1748-your-plans-for-the-future/page__st__40__p__61013#entry61013,0,h,2,d,0,h,0,0,"",1,"","","",
55,6150,16,1372561247,0,0,"","Being a bitch.",0,h,0,h,0,h,0,0,"",1,"","","",
56,6150,16,1372611501,0,0,"","A shit.",0,h,0,h,0,h,0,0,"",1,"","","",
57,6111,132,1372814991,0,0,"",Reason,0,h,0,h,0,h,0,0,"",1,"","","",
58,53,16,1375473723,5,1,"Please stop double posting. Just edit your new content into the post you've already made.","",0,d,0,d,0,d,0,0,h,1,members,"","",0
59,5805,49,1376013187,1,1,"happy to","for being a retarded faggot",0,d,0,d,0,d,0,0,h,1,members,"","",0
60,6199,49,1376018772,1,1,"shut your fucking face up you fucking cunt","fucking faggot dude",0,d,0,d,0,d,0,0,h,1,members,"","",0
61,6173,4,1376393866,0,1,"Double post again faggot I dare you","Egregious double posting.",0,d,0,d,0,d,0,7,d,1,forums,64796,"",0
62,6173,132,1376888940,0,1,"double posting nigger seriously","",0,d,16,h,0,d,0,0,d,1,members,"","",0
63,6173,132,1377315715,0,2,"For continuously bumping ancient threads, making shit threads, being unable to contibute or speak English.","",0,d,0,d,0,d,0,0,d,1,members,"","",0
64,861,49,1377478830,2,1,"you posted interracial","clearly retarded or trying to prove an even more retarded point",0,d,0,d,2,d,0,0,h,1,members,"","",0
65,6218,49,1377705931,2,1,"you are seriously a faggot","he is seriously a faggot",0,d,0,d,5,d,0,0,h,1,members,"","",0
67,505,49,1377889144,0,0,"beta autism of the year. congradulations","need anything be said? fedora off gentlement",0,d,0,d,0,d,7,0,d,1,members,"","",0
68,6218,132,1378282831,0,1,"You're a literal shitposter.","",0,d,1,d,0,d,0,0,d,1,members,"","",0
69,6218,132,1378746530,0,0,"Being too autistic to live.","Being too autistic to live. Also literal shitposting.",0,d,0,d,-1,d,5,0,d,1,members,"","",0
70,6239,132,1378844497,0,0,0/5,"",0,d,0,d,-1,d,5,0,d,1,members,"","",0
71,6240,132,1378854166,0,0,"","",-1,d,0,d,0,d,0,0,d,1,members,"","",0
72,6240,132,1378982350,0,0,"No multiple accounts","",0,d,0,d,-1,d,0,0,d,1,members,"","",0
73,6246,132,1378985390,0,0,"","",0,d,0,d,-1,d,0,0,d,1,members,"","",0
74,6251,132,1379338925,1,1,"","",0,d,0,d,-1,d,0,0,h,1,members,"","",0
75,6258,3,1380732869,0,1,"You're a shitposting fed. If you wanna cry about us, make a topic in the opposition section, which you shall get accustomed to.","Whiny shitposter. Imprisoned.",0,d,0,d,0,d,0,0,d,1,forums,69194,"",0
76,6258,3,1380732941,0,0,"","",0,d,0,d,0,d,7,0,d,1,forums,69194,"",0
77,6272,16,1380875437,0,0,"","Autism but might be fun to read.",0,d,0,d,0,d,7,0,d,1,members,"","",0
