map_id,map_user_id,map_topic_id,map_folder_id,map_read_time,map_user_active,map_user_banned,map_has_unread,map_is_system,map_is_starter,map_left_time,map_ignore_notification,map_last_topic_reply
1,23,1,myconvo,1320389586,1,0,0,0,0,0,0,1316144998
2,1,1,myconvo,1316528378,0,0,0,0,1,0,0,1316144998
3,1,2,myconvo,1316187985,0,0,0,0,0,0,0,1316187891
4,11,2,myconvo,1316491418,1,0,0,0,1,0,0,1316187891
5,14,3,myconvo,1316224791,1,0,0,0,0,0,0,1316224790
6,16,3,myconvo,1316283541,0,0,0,0,1,0,0,1316224790
9,20,5,myconvo,1316529737,1,0,0,0,0,0,0,1316529737
10,1,5,myconvo,1320629800,0,0,0,0,1,0,0,1316529737
11,11,6,myconvo,1316701080,1,0,0,0,0,0,0,1316701077
12,1,6,myconvo,1316702032,0,0,0,0,1,0,0,1316701077
15,8,8,myconvo,1316736876,1,0,0,0,0,0,0,1316736861
16,2,8,myconvo,1316736862,1,0,0,0,1,0,0,1316736861
19,25,10,myconvo,1373312128,1,0,0,0,0,0,0,1316810696
20,1,10,myconvo,1316857195,0,0,0,0,1,0,0,1316810696
21,39,11,myconvo,1342303301,1,0,0,0,0,0,0,1316866359
22,1,11,myconvo,1317013664,0,0,0,0,1,0,0,1316866359
23,35,12,myconvo,1317089697,0,0,0,0,0,0,0,1317063177
24,14,12,myconvo,1317063179,1,0,0,0,1,0,0,1317063177
25,7,13,myconvo,1317000947,0,0,0,0,0,0,0,1316999149
26,2,13,myconvo,1392586022,1,0,0,0,1,0,0,1316999149
29,3,15,myconvo,1317092847,0,0,0,0,0,0,0,1317092844
30,11,15,myconvo,1317093123,1,0,0,0,1,0,0,1317092844
31,16,16,myconvo,1341523343,0,0,0,0,0,0,0,1317164710
32,2,16,myconvo,1392586016,1,0,0,0,1,0,0,1317164710
33,43,17,myconvo,1318021731,1,0,0,0,0,0,0,1317573022
34,11,17,myconvo,1317582762,1,0,0,0,1,0,0,1317573022
35,9,18,myconvo,1317383585,1,0,0,0,0,0,0,1317383583
36,35,18,myconvo,1317383743,0,0,0,0,1,0,0,1317383583
39,1,20,myconvo,1317566194,0,0,0,0,0,0,0,1317489790
40,2,20,myconvo,1339604251,1,0,0,0,1,0,0,1317489790
41,37,21,myconvo,1375629027,1,0,0,0,0,0,0,1317541040
42,1,21,myconvo,1317543877,0,0,0,0,1,0,0,1317541040
45,1,23,myconvo,1317648503,0,0,0,0,0,0,0,1317604873
46,47,23,myconvo,1317604874,1,0,0,0,1,0,0,1317604873
47,47,24,myconvo,1317709814,1,0,0,0,0,0,0,1317707534
48,1,24,myconvo,1320629737,0,0,0,0,1,0,0,1317707534
49,47,25,myconvo,1317711787,1,0,0,0,0,0,0,1317711787
50,1,25,myconvo,1317716603,0,0,0,0,1,0,0,1317711787
51,35,26,myconvo,1317934322,0,0,0,0,0,0,0,1317902816
52,2,26,myconvo,1318039515,1,0,0,0,1,0,0,1317902816
55,4,28,myconvo,1317921236,1,0,0,0,0,0,0,1317921234
56,35,28,myconvo,1319529951,0,0,0,0,1,0,0,1317921234
61,2,31,myconvo,1392585998,1,0,0,0,0,0,0,1318113843
64,40,32,myconvo,1328621852,1,0,0,0,1,0,0,1328592888
65,7,33,myconvo,1318187897,0,0,0,0,0,0,0,1318187721
66,12,33,myconvo,1318190087,1,0,0,0,1,0,0,1318187721
69,7,35,myconvo,1318412457,0,0,0,0,0,0,0,1318371928
70,2,35,myconvo,1318371946,1,0,0,0,1,0,0,1318371928
71,35,36,myconvo,1318509936,0,0,0,0,0,0,0,1318367910
72,2,36,myconvo,1318371182,1,0,0,0,1,0,0,1318367910
73,17,37,myconvo,1349913526,1,0,0,0,0,0,0,1318468696
74,35,37,myconvo,1318509756,0,0,0,0,1,0,0,1318468696
75,8,38,myconvo,1318632259,1,0,0,0,0,0,0,1318632257
76,35,38,myconvo,1318632055,0,0,1,0,1,0,0,1318632257
79,3,40,myconvo,1410054251,1,0,0,0,0,0,0,1320167945
80,35,40,myconvo,1323732345,0,0,0,0,1,0,0,1320167945
81,54,41,myconvo,1338003951,1,0,0,0,0,0,0,1318539130
82,1,41,myconvo,1318539461,0,0,0,0,1,0,0,1318539130
83,54,42,myconvo,1324483288,1,0,0,0,0,0,0,1318716003
84,40,42,myconvo,1318758094,1,0,0,0,1,0,0,1318716003
87,2,44,myconvo,1392585991,1,0,0,0,0,0,0,1319533636
88,35,44,myconvo,1319538212,0,0,0,0,1,0,0,1319533636
89,8,45,myconvo,1319752337,1,0,0,0,0,0,0,1319752014
90,3,45,myconvo,1324160105,1,0,0,0,1,0,0,1319752014
93,7,47,myconvo,1319782886,0,0,0,0,0,0,0,1319782884
94,11,47,myconvo,1319783030,1,0,0,0,1,0,0,1319782884
95,4,48,myconvo,1319973959,1,0,0,0,0,0,0,1319973958
96,35,48,myconvo,1320131888,0,0,0,0,1,0,0,1319973958
99,54,50,myconvo,1320138188,1,0,0,0,0,0,0,1320137773
100,35,50,myconvo,1320143765,0,0,0,0,1,0,0,1320137773
101,62,51,myconvo,1320635884,1,0,0,0,0,0,0,1320635883
102,35,51,myconvo,1323732356,0,0,0,0,1,0,0,1320635883
103,61,52,myconvo,1328754363,1,0,0,0,0,0,0,1320198745
104,35,52,myconvo,1323732338,0,0,0,0,1,0,0,1320198745
105,65,53,myconvo,1327022088,1,0,0,0,0,0,0,1320081118
106,1,53,myconvo,1320629758,0,0,0,0,1,0,0,1320081118
111,11,56,myconvo,1320315602,1,0,0,0,0,0,0,1320246726
112,44,56,myconvo,1320255099,1,0,0,0,1,0,0,1320246726
113,2,57,myconvo,1392585979,1,0,0,0,0,0,0,1320276192
114,35,57,myconvo,1323732350,0,0,0,0,1,0,0,1320276192
117,4,59,myconvo,1320488505,1,0,0,0,0,0,0,1320465724
118,7,59,myconvo,1328394829,0,0,0,0,1,0,0,1320465724
121,72,61,myconvo,1344603049,0,0,0,0,0,0,0,1320601410
122,9,61,myconvo,1320601410,1,0,0,0,1,0,0,1320601410
127,11,64,myconvo,1328249858,1,0,0,0,0,0,0,1320853400
128,23,64,myconvo,1321320791,1,0,0,0,1,0,0,1320853400
129,1,65,myconvo,1320954144,0,0,0,0,0,0,0,1320954143
130,3,65,myconvo,1321022990,1,0,0,0,1,0,0,1320954143
131,1,66,myconvo,1324129751,0,0,0,0,0,0,0,1320875940
132,13,66,myconvo,1329983075,1,0,0,0,1,0,0,1320875940
133,3,67,myconvo,1321022961,1,0,0,0,0,0,0,1320953764
134,14,67,myconvo,1321030444,1,0,0,0,1,0,0,1320953764
135,8,68,myconvo,1323119489,1,0,0,0,0,0,0,1323119488
136,14,68,myconvo,1323126324,1,0,0,0,1,0,0,1323119488
137,54,69,myconvo,1321206547,1,0,0,0,0,0,0,1321206546
138,14,69,myconvo,1321207749,1,0,0,0,1,0,0,1321206546
141,7,71,myconvo,1321544625,0,0,0,0,0,0,0,1321305179
142,9,71,myconvo,1321308159,1,0,0,0,1,0,0,1321305179
143,14,72,myconvo,1332108195,1,0,0,0,0,0,0,1323912229
144,35,72,myconvo,1323914091,0,0,0,0,1,0,0,1323912229
147,54,74,myconvo,1322143103,1,0,0,0,0,0,0,1322143102
148,35,74,myconvo,1323732320,0,0,0,0,1,0,0,1322143102
152,14,76,myconvo,1323114321,1,0,0,0,1,0,0,1322803890
157,4,79,myconvo,1322593685,1,0,0,0,0,0,0,1322593683
158,35,79,myconvo,1323732325,0,0,0,0,1,0,0,1322593683
159,7,80,myconvo,1324993199,0,0,0,0,0,0,0,1323662999
160,79,80,myconvo,1323747127,1,0,0,0,1,0,0,1323662999
161,84,81,myconvo,1324457485,1,0,0,0,0,0,0,1323319708
162,35,81,myconvo,1324241881,0,0,0,0,1,0,0,1323319708
165,89,83,myconvo,1324295766,1,0,0,0,0,0,0,1324133138
166,7,83,myconvo,1324133504,0,0,0,0,1,0,0,1324133138
167,14,84,myconvo,1324240213,1,0,0,0,0,0,0,1324236559
168,89,84,myconvo,1324308678,1,0,0,0,1,0,0,1324236559
169,7,85,myconvo,1324244410,0,0,0,0,0,0,0,1324237973
170,89,85,myconvo,1324308663,1,0,0,0,1,0,0,1324237973
171,49,86,myconvo,1324608810,0,0,0,0,0,0,0,1324226416
172,14,86,myconvo,1353472310,1,0,0,0,1,0,1,1324226416
173,9,87,myconvo,1324323567,1,0,1,0,0,0,0,1324323857
174,89,87,myconvo,1324430845,1,0,0,0,1,0,0,1324323857
175,54,88,myconvo,1324333610,1,0,0,0,0,0,0,1324333609
176,89,88,myconvo,1324394515,1,0,0,0,1,0,0,1324333609
177,9,89,myconvo,1324667351,1,0,0,0,0,0,0,1324499754
178,89,89,myconvo,1324499759,1,0,0,0,1,0,0,1324499754
179,49,90,myconvo,1324608769,0,0,0,0,0,0,0,1324435749
180,89,90,myconvo,1324455603,1,0,0,0,1,0,0,1324435749
181,35,91,myconvo,1325681529,0,0,0,0,0,0,0,1325655172
182,23,91,myconvo,1325655179,1,0,0,0,1,0,0,1325655172
183,14,92,myconvo,1332108203,1,0,0,0,0,0,0,1324823081
184,35,92,myconvo,1324904499,0,0,0,0,1,0,0,1324823081
185,13,93,myconvo,1324670685,1,0,0,0,0,0,0,1324646820
186,89,93,myconvo,1324683274,1,0,0,0,1,0,0,1324646820
187,13,94,myconvo,1328790219,1,0,0,0,0,0,0,1324670775
188,89,94,myconvo,1324683264,1,0,0,0,1,0,0,1324670775
189,1,95,myconvo,1327525784,0,0,0,0,0,0,0,1327524043
190,89,95,myconvo,1327564998,1,0,0,0,1,0,0,1327524043
191,9,96,myconvo,1324722012,1,0,1,0,0,0,0,1324744481
192,67,96,myconvo,1324744483,0,0,0,0,1,0,0,1324744481
193,49,97,myconvo,1329522155,0,0,0,0,0,0,0,1324694965
194,14,97,myconvo,1324752242,1,0,0,0,1,0,0,1324694965
197,9,99,myconvo,1324894859,1,0,1,0,0,0,0,1324912693
198,7,99,myconvo,1324912694,0,0,0,0,1,0,0,1324912693
199,35,100,myconvo,1325803816,0,0,0,0,0,0,0,1324760070
200,3,100,myconvo,1324760070,1,0,0,0,1,0,0,1324760070
201,9,101,myconvo,1325327789,1,0,0,0,0,0,0,1324903894
202,11,101,myconvo,1324903896,1,0,0,0,1,0,0,1324903894
205,9,103,myconvo,1324894647,1,0,0,0,0,0,0,1324894644
206,14,103,myconvo,1324908665,1,0,0,0,1,0,0,1324894644
209,84,105,myconvo,1324926153,1,0,0,0,0,0,0,1324926148
210,79,105,myconvo,1324926827,0,0,0,0,1,0,0,1324926148
212,14,106,myconvo,1324926651,1,0,0,0,1,0,0,1324926651
213,14,107,myconvo,1324929125,1,0,0,0,0,0,0,1324928792
214,11,107,myconvo,1324929594,1,0,0,0,1,0,0,1324928792
217,91,109,myconvo,1337629798,1,0,0,0,0,0,0,1325354479
218,79,109,myconvo,1325354480,1,0,0,0,1,0,0,1325354479
221,11,111,myconvo,1325382827,1,0,0,0,0,0,0,1325381032
222,16,111,myconvo,1325381039,0,0,0,0,1,0,0,1325381032
223,16,112,myconvo,1341523357,0,0,0,0,0,0,0,1325381887
224,11,112,myconvo,1325383232,1,0,0,0,1,0,0,1325381887
225,5,113,myconvo,1325384817,1,0,0,0,0,0,0,1325384805
226,11,113,myconvo,1325384806,1,0,0,0,1,0,0,1325384805
227,1,114,myconvo,1325492868,0,0,0,0,0,0,0,1325462597
228,14,114,myconvo,1325462597,1,0,0,0,1,0,0,1325462597
229,56,115,myconvo,1362860379,1,0,0,0,0,0,0,1327704880
