mt_id,mt_date,mt_title,mt_hasattach,mt_starter_id,mt_start_time,mt_last_post_time,mt_invited_members,mt_to_count,mt_to_member_id,mt_replies,mt_last_msg_id,mt_first_msg_id,mt_is_draft,mt_is_deleted,mt_is_system
1,1316144998,"Introductions are important",0,1,1316144998,1316144998,a:0:{},0,23,0,1,1,0,1,0
2,1316174048,"Our hosts",0,11,1316174047,1316187891,a:0:{},0,1,4,6,2,0,0,0
3,1316223829,"Re: Nova Roma",0,16,1316223829,1316224790,a:0:{},0,14,1,8,7,0,1,0
5,1316528414,"Introductions are important",0,1,1316528414,1316529737,a:0:{},0,20,1,13,12,0,1,0
6,1316700737,msn,0,1,1316700737,1316701077,a:0:{},0,11,1,15,14,0,1,0
8,1316726482,"Do you have Skype or AIM or MSN?",0,2,1316726482,1316736861,a:0:{},1,8,7,24,17,0,0,0
10,1316810696,"Introductions are important",0,1,1316810696,1316810696,a:0:{},0,25,0,26,26,0,1,0
11,1316857239,"Introductions are important",0,1,1316857239,1316866359,a:0:{},0,39,2,29,27,0,1,0
12,1316971130,"Welcome back",0,14,1316971130,1317063177,a:0:{},0,35,2,35,31,0,0,0
13,1316999150,"Could I have the banner without text and without the symbol?",0,2,1316999149,1316999149,a:0:{},0,7,0,32,32,0,0,0
15,1317067105,"Revolt Against the Modern World",0,11,1317067105,1317092844,a:0:{},0,3,3,39,36,0,0,0
16,1317158332,"All you have to do is post a youtube link",0,2,1317158332,1317164710,a:0:{},0,16,3,43,40,0,0,0
17,1317367590,Presidency,0,11,1317367590,1317573022,a:0:{},1,43,1,53,44,0,0,0
18,1317382951,"Real quick",0,35,1317382951,1317383583,a:0:{},0,9,1,46,45,0,1,0
20,1317489790,Password,0,2,1317489790,1317489790,a:0:{},0,1,0,48,48,0,0,0
21,1317533786,"Introductions are important",0,1,1317533786,1317541040,a:0:{},0,37,1,50,49,0,1,0
23,1317587131,"forum structure",0,47,1317587131,1317604873,a:0:{},0,1,2,57,54,0,0,0
24,1317707535,"Introductions are important",0,1,1317707534,1317707534,a:0:{},0,47,0,58,58,0,1,0
25,1317710873,book,0,1,1317710873,1317711787,a:0:{},0,47,1,60,59,0,1,0
26,1317824682,"What do you think of this?",0,2,1317824682,1317902816,a:0:{},0,35,2,64,61,0,0,0
28,1317903396,Herp,0,35,1317903396,1317921234,a:0:{},0,4,1,68,65,0,1,0
31,1318111557,Hello,0,0,1318111557,1318113843,a:0:{},0,2,3,77,73,0,1,0
32,1318112633,"I&#39;ve a feeling me and you are going to get on well",0,40,1318112633,1328592888,a:0:{},0,0,3,550,76,0,0,0
33,1318183326,"Message on hotmail",0,12,1318183324,1318187721,a:0:{},0,7,1,79,78,0,0,0
35,1318337674,"Do you know what videos these clips were taken from?",0,2,1318337674,1318371928,a:0:{},0,7,2,89,82,0,0,0
36,1318337697,"Do you know what videos these clips were taken from?",0,2,1318337697,1318367910,a:0:{},0,35,1,86,83,0,0,0
37,1318415763,Hello,0,35,1318415763,1318468689,a:0:{},0,17,1,95,91,0,1,0
38,1318415791,hey,0,35,1318415791,1318632257,a:0:{},0,8,4,112,92,0,1,0
40,1318514878,You...,0,35,1318514878,1320167945,a:0:{},0,3,14,174,99,0,1,0
41,1318538495,contacts,0,1,1318538494,1318539130,a:0:{},0,54,1,106,105,0,1,0
42,1318677388,"I&#39;ve a feeling we&#39;ll get on fine",0,40,1318677388,1318716003,a:0:{},1,54,1,115,113,0,0,0
44,1319531064,hey,0,35,1319531064,1319533636,a:0:{},0,2,1,125,124,0,1,0
45,1319548891,Collaboration/Skype,0,3,1319548891,1319752014,a:0:{},1,8,3,141,127,0,0,0
47,1319759361,Thanks,0,11,1319759361,1319782884,a:0:{},0,7,1,143,142,0,0,0
48,1319933185,hey,0,35,1319933185,1319973958,a:0:{},0,4,1,152,144,0,1,0
50,1319935916,hi,0,35,1319935915,1320137773,a:0:{},0,54,7,170,146,0,1,0
51,1319935927,hey,0,35,1319935927,1320635883,a:0:{},0,62,4,195,147,0,1,0
52,1319935951,oi&#33;,0,35,1319935951,1320198744,a:0:{},0,61,3,176,148,0,1,0
53,1320081118,"Introductions are important",0,1,1320081118,1320081118,a:0:{},0,65,0,154,154,0,1,0
56,1320186426,"Pointless question",0,44,1320186426,1320246726,a:0:{},1,11,1,180,175,0,0,0
57,1320216121,Question,0,35,1320216121,1320276192,a:0:{},0,2,3,182,178,0,1,0
59,1320375429,"Fascist archive",0,7,1320375429,1320465724,a:0:{},0,4,3,189,184,0,1,0
61,1320601410,Introduction.,0,9,1320601410,1320601410,a:0:{},0,72,0,192,192,0,0,0
64,1320720092,"mushi mushi",0,23,1320720092,1320853400,a:0:{},1,11,3,204,196,0,0,0
65,1320774048,"New computer?",0,3,1320774048,1320954143,a:0:{},0,1,4,212,198,0,0,0
66,1320828504,Hi,0,13,1320828504,1320875940,a:0:{},0,1,2,205,202,0,0,0
67,1320886848,"Precise Location",0,14,1320886847,1320953764,a:0:{},1,3,4,211,206,0,0,0
68,1321146833,Hey,0,14,1321146833,1323119488,a:0:{},1,8,5,255,214,0,0,0
69,1321200809,Help,0,14,1321200808,1321206546,a:0:{},1,54,1,218,217,0,0,0
71,1321292604,"Section Leader",0,9,1321292604,1321305179,a:0:{},0,7,1,221,220,0,0,0
72,1321708655,Hello,0,35,1321708655,1323912229,a:0:{},0,14,9,266,222,0,1,0
74,1322142722,Hello,0,35,1322142721,1322143102,a:0:{},0,54,1,230,229,0,1,0
76,1322270607,"Welcome, comrade&#33;",0,14,1322270606,1322803890,a:0:{},0,0,1,246,236,0,0,0
79,1322547459,hello,0,35,1322547459,1322593683,a:0:{},0,4,1,242,241,0,1,0
80,1322949493,"The Integralist Party",0,79,1322949493,1323662999,a:0:{},0,7,6,260,250,0,0,0
81,1323319709,Hello,0,35,1323319708,1323319708,a:0:{},0,84,0,256,256,0,1,0
83,1324128900,greetings,0,7,1324128900,1324133138,a:0:{},0,89,1,270,268,0,1,0
84,1324160230,"Flamed, and deletion of my post.",0,89,1324160230,1324236559,a:0:{},1,14,4,280,271,0,0,0
85,1324160511,Hello,0,89,1324160510,1324237973,a:0:{},0,7,1,281,272,0,0,0
86,1324180732,"Regarding your Warning",0,14,1324180732,1324226416,a:0:{},0,49,3,279,274,0,0,0
87,1324309685,Hello,0,89,1324309684,1324323857,a:0:{},1,9,5,287,282,0,0,0
88,1324326233,"Your ideology",0,89,1324326233,1324333609,a:0:{},1,54,1,289,288,0,0,0
89,1324413401,"A thread I would like to share",0,89,1324413401,1324499754,a:0:{},1,9,2,294,290,0,0,0
90,1324419143,"A proposition",0,89,1324419143,1324435749,a:0:{},0,49,1,292,291,0,0,0
91,1324539422,Reaktion,0,23,1324539422,1325655172,a:0:{},0,35,3,365,295,0,0,0
92,1324554110,Reaktion,0,35,1324554110,1324823081,a:0:{},0,14,4,336,297,0,1,0
93,1324646820,"Propaganda ",0,89,1324646820,1324646820,a:0:{},1,13,0,300,300,0,0,0
94,1324646850,Propaganda,0,89,1324646850,1324670775,a:0:{},1,13,1,302,301,0,0,0
95,1324670989,PM,0,89,1324670989,1327524043,a:0:{},0,1,20,439,303,0,0,0
96,1324673266,"Ethno Nationalist",0,67,1324673266,1324744481,a:0:{},0,9,2,323,304,0,1,0
97,1324691960,-,0,14,1324691960,1324694965,a:0:{},0,49,5,312,307,0,0,0
99,1324730907,Doriot,0,7,1324730906,1324912693,a:0:{},0,9,3,343,319,0,1,0
100,1324760070,"Orthodox Nationalist",0,3,1324760070,1324760070,a:0:{},0,35,0,327,327,0,0,0
101,1324779584,"A reminder.",0,11,1324779584,1324903894,a:0:{},1,9,2,341,331,0,0,0
103,1324828398,Warns,0,14,1324828298,1324894644,a:0:{},1,9,1,338,337,0,0,0
105,1324923092,"your comments on &#39;might makes right&#39;",0,79,1324923091,1324926148,a:0:{},0,84,1,346,345,0,1,0
106,1324926652,So,0,14,1324926651,1324926651,a:0:{},0,0,0,347,347,0,0,0
107,1324928793,Well.,0,11,1324928792,1324928792,a:0:{},1,14,0,348,348,0,0,0
109,1325194036,"you, the NSP, and SP forum",0,79,1325194036,1325354479,a:0:{},1,91,4,357,350,0,0,0
111,1325380700,"Skype thingummy",0,16,1325380700,1325381032,a:0:{},0,11,1,359,358,0,1,0
112,1325381887,"C&#39;mon c&#39;mon",0,11,1325381887,1325381887,a:0:{},0,16,0,360,360,0,0,0
113,1325383011,Party,0,11,1325383011,1325384805,a:0:{},1,5,2,363,361,0,0,0
114,1325462597,"Concerning Etho Nationalist",0,14,1325462597,1325462597,a:0:{},0,1,0,364,364,0,0,0
115,1325811147,"Anglo-serb. ",0,7,1325811146,1327704880,a:0:{},0,56,9,463,366,0,1,0
118,1326291272,"Counter Currents",0,3,1326291272,1326291484,a:0:{},0,35,1,379,378,0,0,0
119,1326296152,"article on Imperium Americana or whatever the fuck it would be",0,35,1326296152,1326336323,a:0:{},0,14,2,382,380,0,1,0
120,1326372901,So..,0,35,1326372901,1326388925,a:0:{},0,54,1,384,383,0,1,0
121,1326714441,"Interested in your ideology.",0,65,1326714441,1326726871,a:0:{},1,101,1,386,385,0,0,0
122,1326800754,"Propaganda ministry",0,13,1326800754,1326801106,a:0:{},0,49,1,388,387,0,0,0
124,1326895422,Greetings,0,14,1326895421,1326896558,a:0:{},1,108,2,395,393,0,0,0
125,1326898427,FC,0,14,1326898427,1326898427,a:0:{},0,1,0,396,396,0,0,0
126,1326912000,Website,0,13,1326912000,1326946459,a:0:{},0,7,1,398,397,0,0,0
127,1327080725,"Hello. ",0,7,1327080720,1327173323,a:0:{},0,114,6,408,399,0,1,0
128,1327082091,Hello,0,7,1327081973,1327157819,a:0:{},0,40,2,405,400,0,1,0
129,1327195948,Reaktion,0,4,1327195948,1327196388,a:0:{},1,108,1,410,409,0,0,0
130,1327235370,Hey,0,35,1327235370,1327356312,a:0:{},0,108,3,419,411,0,1,0
131,1327242494,"Dear ferret.",0,7,1327242494,1328778444,a:0:{},0,29,11,573,412,0,1,0
132,1327424680,"Mussolini&#39;s Intellectuals: Fascist social and Political thought",0,114,1327424680,1327493795,a:0:{},1,40,2,426,420,0,0,0
133,1327453878,So,0,14,1327453878,1328884967,a:0:{},1,108,9,586,421,0,0,0
134,1327462444,Skype?,0,3,1327462443,1327508246,a:0:{},1,100,3,432,423,0,0,0
136,1327520236,schnell,0,1,1327520236,1327520236,a:0:{},0,89,0,433,433,0,1,0
137,1327555406,"I&#39;ve got an idea",0,65,1327555406,1327600664,a:0:{},1,64,1,454,445,0,0,0
