perm_id,app,perm_type,perm_type_id,perm_view,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,owner_only,friend_only,authorized_users
1,members,profile_view,1,*,"","","","","","",0,0,
2,core,help,1,*,"","","","","","",0,0,
3,forums,forum,1,",1,2,3,4,6,",",6,",",6,",",6,",",,",",,",",,",0,0,""
7,forums,forum,5,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
9,forums,forum,7,",4,2,3,6,1,",",,",",,",",,",",,",",,",",,",1,0,""
12,forums,forum,10,",1,2,3,4,6,12,",",,",",,",",,",",,",",,",",,",0,0,""
14,forums,forum,12,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
15,forums,forum,13,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
16,forums,forum,14,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
17,forums,forum,15,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
18,forums,forum,16,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
19,forums,forum,17,",1,2,3,4,6,",",,",",,",",,",",,",",,",",,",0,0,""
21,forums,forum,19,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
22,forums,forum,20,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
26,forums,forum,24,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
27,forums,forum,25,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
28,forums,forum,26,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
32,forums,forum,30,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
33,forums,forum,31,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
35,forums,forum,33,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
36,forums,forum,34,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
37,forums,forum,35,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
39,forums,forum,37,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
40,forums,forum,38,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
41,forums,forum,39,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
42,forums,forum,40,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
45,forums,forum,43,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
46,forums,forum,44,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
47,forums,forum,45,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
63,forums,forum,61,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
70,forums,forum,63,",4,5,2,3,6,1,",",4,2,3,6,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
71,forums,forum,64,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
76,forums,forum,69,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
78,forums,forum,71,",1,2,3,4,5,6,",",1,2,3,4,5,6,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
80,forums,forum,73,",1,2,3,4,5,6,",",1,2,3,4,5,6,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
85,forums,forum,46,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
87,forums,forum,76,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
89,forums,forum,77,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
90,forums,forum,62,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
91,forums,forum,65,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
92,forums,forum,75,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
93,forums,forum,56,",4,2,3,6,7,1,",",,",",,",",,",",,",",,",",,",0,0,""
94,forums,forum,78,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",6,",",4,6,",",,",0,0,""
98,forums,forum,82,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",4,6,",",,",0,0,""
99,forums,forum,83,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",4,6,",",,",0,0,""
100,forums,forum,60,",4,5,2,3,6,7,1,",",4,5,2,3,6,7,1,",",4,3,6,7,",",4,3,6,7,",",,",",4,6,7,",",,",0,0,""
101,forums,forum,81,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
102,forums,forum,84,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
103,forums,forum,85,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
104,forums,forum,86,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
105,forums,forum,87,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
106,forums,forum,88,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
108,forums,forum,90,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
109,forums,forum,91,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
110,forums,forum,92,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
111,forums,forum,93,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
112,forums,forum,94,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
113,forums,forum,95,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
114,forums,forum,96,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
115,forums,forum,97,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
116,forums,forum,98,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
117,forums,forum,99,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
118,forums,forum,100,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
119,forums,forum,101,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
121,forums,forum,11,",4,2,3,6,1,12,",",4,2,3,6,1,12,",",4,3,6,",",4,3,6,12,",",,",",,",",,",0,0,""
122,forums,forum,103,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
123,forums,forum,104,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
125,forums,forum,2,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,6,",",,",",,",",,",0,0,""
126,forums,forum,106,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
127,forums,forum,107,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
128,forums,forum,108,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
129,forums,forum,109,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
131,forums,forum,111,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
132,forums,forum,112,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
133,forums,forum,113,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
134,forums,forum,114,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
135,forums,forum,115,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
